energy,tempo,danceability,loudness,valence,speechiness,instrumentalness,acousticness,liveness,duration_ms,track_name,track_artist,playlist_genre,playlist_subgenre,track_popularity,popular,genre_group
0.454,159.982,0.689,-7.643,0.912,0.0584,0.00259,0.0351,0.0707,159246.0,End of Beginning,Djo,pop,mainstream,89,1,pop
0.386,192.004,0.504,-10.976,0.281,0.0308,1.53e-05,0.502,0.0961,228965.0,Fortnight (feat. Post Malone),"Taylor Swift, Post Malone",pop,mainstream,84,1,pop
0.681,155.079,0.56,-6.304,0.388,0.244,0.0,0.103,0.106,223320.0,Q U E V A S H A C E R H O Y ?,"Omar Courtz, De La Rose",pop,mainstream,89,1,pop
0.472,101.061,0.898,-7.001,0.214,0.0776,0.0,0.0107,0.141,274192.0,Not Like Us,Kendrick Lamar,pop,mainstream,88,1,pop
0.711,146.921,0.487,-4.22,0.317,0.0322,0.0,0.000175,0.152,151647.0,Running Wild,Jin,pop,mainstream,85,1,pop
0.712,91.98,0.848,-3.574,0.692,0.0981,0.0,0.221,0.106,298131.0,+57,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",pop,mainstream,84,1,pop
0.645,114.933,0.882,-7.233,0.788,0.0601,4.13e-05,0.475,0.057,104419.0,Embrace It,Ndotz,pop,mainstream,87,1,pop
0.872,184.115,0.466,-3.344,0.806,0.0336,0.0,0.0156,0.121,190428.0,The Emptiness Machine,Linkin Park,pop,mainstream,89,1,pop
0.756,116.034,0.66,-3.743,0.838,0.032,0.0,0.00289,0.193,170888.0,Who,Jimin,pop,mainstream,92,1,pop
0.508,147.125,0.579,-9.484,0.609,0.027,0.000494,0.00574,0.0575,391376.0,Hotel California - 2013 Remaster,Eagles,rock,classic,81,1,rock
0.89,133.52,0.502,-5.175,0.259,0.0364,0.0117,0.000147,0.217,292880.0,Thunderstruck,AC/DC,rock,classic,83,1,rock
0.446,123.596,0.743,-7.807,0.278,0.0683,0.118,0.0039,0.337,232107.0,Seven Nation Army,The White Stripes,rock,classic,82,1,rock
0.43,91.844,0.515,-9.935,0.104,0.0372,0.000133,0.0097,0.129,238640.0,Creep,Radiohead,rock,classic,86,1,rock
0.824,120.125,0.5,-5.846,0.539,0.0388,0.00161,0.00016,0.0916,218920.0,Come As You Are,Nirvana,rock,classic,76,1,rock
0.767,96.483,0.592,-2.788,0.328,0.027,0.00165,0.0021,0.127,329733.0,Californication,Red Hot Chili Peppers,rock,classic,81,1,rock
0.952,125.304,0.445,-5.321,0.624,0.0522,0.0843,0.09,0.112,356067.0,Sweet Child O' Mine,Guns N' Roses,rock,classic,84,1,rock
0.795,158.691,0.464,-9.267,0.612,0.0926,0.00244,0.0493,0.399,202267.0,"Paint It, Black",The Rolling Stones,rock,classic,81,1,rock
0.492,120.151,0.828,-9.744,0.789,0.0276,0.00428,0.0644,0.128,257800.0,Dreams - 2004 Remaster,Fleetwood Mac,rock,classic,84,1,rock
0.881,158.066,0.413,-5.541,0.364,0.0367,0.000308,5.99e-05,0.0805,250547.0,Everlong,Foo Fighters,rock,classic,81,1,rock
0.716,94.379,0.535,-5.025,0.901,0.0431,0.0,0.326,0.659,175173.0,I Love Rock 'N Roll,Joan Jett & the Blackhearts,rock,classic,77,1,rock
0.322,93.503,0.475,-10.687,0.387,0.0283,0.00056,0.367,0.11,206267.0,Dust in the Wind,Kansas,rock,classic,79,1,rock
0.394,104.114,0.693,-15.882,0.721,0.0428,0.000694,0.0782,0.247,238747.0,"Another Brick in the Wall, Pt. 2",Pink Floyd,rock,classic,74,1,rock
0.899,152.445,0.475,-4.321,0.603,0.0637,1.91e-05,0.00375,0.14,230667.0,Runaway,Bon Jovi,rock,classic,72,1,rock
0.943,85.064,0.442,-3.205,0.781,0.0602,8.71e-06,0.00293,0.091,181533.0,Basket Case,Green Day,rock,classic,80,1,rock
0.345,84.581,0.559,-13.496,0.458,0.0459,0.000105,0.0576,0.141,264307.0,Under the Bridge,Red Hot Chili Peppers,rock,classic,82,1,rock
0.814,147.193,0.673,-5.411,0.728,0.0367,0.00293,0.0134,0.343,252200.0,White Wedding - Pt. 1,Billy Idol,rock,classic,70,1,rock
0.767,127.361,0.532,-5.509,0.755,0.0574,0.000513,0.00287,0.39,210173.0,You Shook Me All Night Long,AC/DC,rock,classic,81,1,rock
0.863,136.302,0.723,-7.89,0.931,0.0338,0.0317,0.0383,0.128,222813.0,(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,rock,classic,76,1,rock
0.449,100.456,0.486,-10.298,0.549,0.0267,2.23e-06,0.166,0.54,254293.0,Starman - 2012 Remaster,David Bowie,rock,classic,76,1,rock
0.902,89.74,0.412,-11.6,0.422,0.405,0.131,0.0484,0.405,333893.0,Whole Lotta Love - 1990 Remaster,Led Zeppelin,rock,classic,72,1,rock
0.722,103.886,0.55,-11.729,0.716,0.0283,0.0129,0.25,0.11,434720.0,Riders on the Storm,The Doors,rock,classic,70,1,rock
0.944,105.338,0.394,-6.506,0.265,0.0761,4.54e-06,0.00178,0.298,292581.0,Even Flow,Pearl Jam,rock,classic,77,1,rock
0.952,122.093,0.398,-6.042,0.584,0.061,7.75e-05,0.000373,0.1,278680.0,Born in the U.S.A.,Bruce Springsteen,rock,classic,72,1,rock
0.917,171.176,0.356,-6.006,0.518,0.0479,0.0,0.0335,0.406,357267.0,Bitter Sweet Symphony - Remastered 2016,The Verve,rock,classic,79,1,rock
0.589,124.634,0.455,-8.64,0.254,0.0328,0.00358,0.00184,0.104,283733.0,Don't Cry (Original),Guns N' Roses,rock,classic,75,1,rock
0.805,113.253,0.438,-6.237,0.564,0.0624,5.69e-05,0.00255,0.0842,240800.0,All Along the Watchtower,Jimi Hendrix,rock,classic,72,1,rock
0.239,189.507,0.446,-13.945,0.298,0.0316,4.1e-06,0.551,0.0697,336453.0,In The Air Tonight - 2015 Remastered,Phil Collins,rock,classic,76,1,rock
0.521,123.118,0.721,-8.123,0.942,0.0613,0.00545,0.0708,0.127,261413.0,Psycho Killer - 2005 Remaster,Talking Heads,rock,classic,76,1,rock
0.67,129.269,0.619,-10.322,0.777,0.0353,0.0109,0.00165,0.331,211933.0,Are You Gonna Go My Way,Lenny Kravitz,rock,classic,71,1,rock
0.828,105.25,0.539,-9.108,0.562,0.035,0.421,0.00067,0.154,515387.0,Master of Puppets (Remastered),Metallica,rock,classic,70,1,rock
0.487,114.965,0.73,-10.991,0.731,0.0303,0.01,0.258,0.0852,226653.0,Everywhere - 2017 Remaster,Fleetwood Mac,rock,classic,79,1,rock
0.697,116.109,0.741,-7.028,0.774,0.0277,2.28e-05,0.0664,0.133,160133.0,Have You Ever Seen The Rain,Creedence Clearwater Revival,rock,classic,84,1,rock
0.579,127.215,0.62,-9.307,0.691,0.0473,6.4e-05,0.0152,0.0858,225627.0,Just What I Needed,The Cars,rock,classic,69,1,rock
0.912,116.761,0.502,-4.556,0.72,0.0564,0.000173,2.55e-05,0.106,301920.0,Smells Like Teen Spirit,Nirvana,rock,classic,76,1,rock
0.833,88.785,0.466,-4.215,0.661,0.304,0.0,0.0266,0.0327,313573.0,Killing In The Name,Rage Against The Machine,rock,classic,78,1,rock
0.376,164.775,0.53,-11.913,0.188,0.04,0.247,0.0304,0.0926,259947.0,Come Together - Remastered 2009,The Beatles,rock,classic,75,1,rock
0.786,126.755,0.482,-5.735,0.793,0.032,8.88e-05,0.00321,0.446,323000.0,Carry on Wayward Son,Kansas,rock,classic,73,1,rock
0.789,129.802,0.674,-6.903,0.918,0.0676,0.00708,0.00178,0.0753,121160.0,Song 2 - 2012 Remaster,Blur,rock,classic,78,1,rock
0.441,81.334,0.519,-14.178,0.25,0.0353,0.000453,0.0204,0.076,234973.0,Where Is My Mind? - 2007 Remaster,Pixies,rock,classic,76,1,rock
0.836,113.375,0.743,-6.465,0.82,0.116,0.0,0.0804,0.384,188987.0,Should I Stay or Should I Go - Remastered,The Clash,rock,classic,80,1,rock
0.528,109.975,0.932,-6.472,0.757,0.161,0.329,0.115,0.163,214653.0,Another One Bites The Dust - Remastered 2011,Queen,rock,classic,71,1,rock
0.905,128.019,0.602,-4.046,0.411,0.0775,0.064,0.000202,0.117,304840.0,Uprising,Muse,rock,classic,75,1,rock
0.519,98.883,0.653,-10.164,0.822,0.0497,0.0209,0.406,0.101,153693.0,For What It's Worth,Buffalo Springfield,rock,classic,76,1,rock
0.946,138.18,0.454,-5.978,0.647,0.13,0.0,0.0223,0.173,156147.0,You Really Got Me - 2015 Remaster,Van Halen,rock,classic,68,1,rock
0.828,105.435,0.35,-5.373,0.147,0.041,0.000161,0.000217,0.0774,318587.0,Black Hole Sun,Soundgarden,rock,classic,76,1,rock
0.349,124.348,0.489,-14.295,0.622,0.0323,0.0789,0.676,0.0866,196467.0,Black Magic Woman - Single Version,Santana,rock,classic,70,1,rock
0.872,159.925,0.587,-5.066,0.735,0.0484,0.0,0.018,0.622,221333.0,Fly Away,Lenny Kravitz,rock,classic,73,1,rock
0.808,151.008,0.577,-7.04,0.869,0.039,1.33e-05,0.0338,0.221,290280.0,Message In A Bottle,The Police,rock,classic,75,1,rock
0.758,112.113,0.489,-6.491,0.435,0.0297,0.49,0.000678,0.092,371413.0,Heroes - 2017 Remaster,David Bowie,rock,classic,72,1,rock
0.932,112.937,0.564,-10.068,0.619,0.0554,0.169,0.013,0.349,146250.0,Immigrant Song - Remaster,Led Zeppelin,rock,classic,75,1,rock
0.338,177.765,0.388,-10.054,0.478,0.0329,3.73e-06,0.652,0.248,303373.0,Mr. Blue Sky,Electric Light Orchestra,rock,classic,76,1,rock
0.7,188.386,0.31,-5.678,0.763,0.047,0.00965,0.011,0.0828,255493.0,Back In Black,AC/DC,rock,classic,83,1,rock
0.691,137.145,0.548,-13.553,0.667,0.0369,0.106,0.015,0.144,261933.0,Barracuda,Heart,rock,classic,74,1,rock
0.532,136.576,0.601,-9.119,0.342,0.0286,5.95e-06,0.433,0.0925,281613.0,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,rock,classic,79,1,rock
0.641,203.006,0.256,-10.283,0.382,0.0552,0.0329,0.199,0.0853,281160.0,Heart-Shaped Box,Nirvana,rock,classic,79,1,rock
0.755,109.535,0.667,-7.246,0.883,0.069,6.94e-05,0.0966,0.0523,286220.0,Life in the Fast Lane - 2013 Remaster,Eagles,rock,classic,68,1,rock
0.373,92.718,0.671,-18.064,0.732,0.0323,8.01e-05,0.257,0.0481,295893.0,Africa,TOTO,rock,classic,83,1,rock
0.927,141.466,0.333,-8.55,0.385,0.0733,0.000208,0.0029,0.297,308120.0,(Don't Fear) The Reaper,Blue Öyster Cult,rock,classic,75,1,rock
0.787,126.879,0.767,-9.897,0.964,0.0331,0.583,0.0163,0.0513,266200.0,1979 - Remastered 2012,The Smashing Pumpkins,rock,classic,77,1,rock
0.366,127.163,0.472,-12.595,0.171,0.0286,0.312,0.15,0.0837,382297.0,Comfortably Numb,Pink Floyd,rock,classic,71,1,rock
0.864,81.394,0.437,-7.842,0.749,0.0904,0.0314,0.396,0.242,295387.0,Black Dog - Remaster,Led Zeppelin,rock,classic,69,1,rock
0.584,170.411,0.509,-4.907,0.685,0.057,9.96e-05,0.0368,0.384,278747.0,No One Knows,Queens of the Stone Age,rock,classic,69,1,rock
0.912,117.399,0.575,-7.275,0.843,0.0393,0.00211,0.0916,0.0562,207267.0,Long Train Runnin',The Doobie Brothers,rock,classic,69,1,rock
0.611,85.387,0.654,-10.45,0.786,0.119,0.000178,0.0337,0.405,235000.0,Loser,Beck,rock,classic,69,1,rock
0.482,138.453,0.529,-11.709,0.492,0.0599,0.0,0.7,0.0842,516893.0,American Pie,Don McLean,rock,classic,74,1,rock
0.748,134.114,0.618,-8.905,0.663,0.358,4.1e-06,0.0384,0.0473,191947.0,Roxanne,The Police,rock,classic,77,1,rock
0.7,147.245,0.586,-9.558,0.897,0.0363,0.00125,0.0589,0.0318,295400.0,My Sharona,The Knack,rock,classic,69,1,rock
0.318,104.522,0.575,-16.729,0.385,0.109,0.000202,0.683,0.0934,254173.0,Walk On the Wild Side,Lou Reed,rock,classic,74,1,rock
0.706,80.823,0.445,-9.803,0.768,0.0461,0.000252,0.234,0.205,266720.0,The Boys Are Back In Town,Thin Lizzy,rock,classic,70,1,rock
